Data,Título,Descrição,Imagem,Vídeo,Válido até,Publicado
2026-07-14,Terça Hortifruti,"Frutas, verduras e legumes fresquinhos com preço de feira, toda terça-feira.",assets/img/folheto-hortifruti.jpeg,,,SIM
2026-07-08,Quarta das Carnes,"As melhores carnes bovinas e suínas com preços especiais, toda quarta no açougue.",assets/img/folheto-carnes.jpeg,,,SIM
2026-07-10,Fim de Semana da Economia,"Ofertas em todo o mercado para encher o carrinho gastando menos, de sexta a domingo.",assets/img/folheto-economia.jpeg,,,SIM
